                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.77734,                0.48941,                0.96691,                0.90101,                0.86061,                0.90333,                0.64142,                 1.0218,                0.68157,                 1.0968,              0.0003962,              0.0003962,              0.0003962
                     83,                0.79189,                0.49371,                0.99037,                0.93155,                0.82482,                0.90246,                0.65117,                0.99667,                0.67996,                  1.109,              0.0003764,              0.0003764,              0.0003764
                     84,                0.78299,                0.48539,                0.99017,                0.94407,                    0.8,                0.90117,                0.64738,                 1.0166,                0.68755,                 1.0994,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.7754,                0.48374,                0.98588,                0.90366,                0.85269,                0.90232,                0.65953,                 1.0013,                0.68956,                 1.0946,              0.0003368,              0.0003368,              0.0003368
                     86,                0.75949,                0.46416,                0.95779,                0.89757,                0.84242,                0.90437,                0.66211,                0.97828,                0.66821,                 1.0967,               0.000317,               0.000317,               0.000317
                     87,                 0.7658,                 0.4721,                0.95527,                0.89678,                 0.8425,                0.90381,                0.64567,                 1.0433,                0.69722,                 1.1245,              0.0002972,              0.0002972,              0.0002972
                     88,                0.74047,                 0.4675,                0.96444,                0.90704,                0.83636,                0.89309,                0.64953,                0.99675,                0.73026,                  1.102,              0.0002774,              0.0002774,              0.0002774
                     89,                0.76037,                0.47263,                 0.9691,                0.87586,                0.85522,                0.89489,                0.66072,                0.96374,                0.71626,                 1.0915,              0.0002576,              0.0002576,              0.0002576
                     90,                0.75583,                0.47241,                0.96877,                0.88684,                0.85498,                0.89096,                0.65328,                0.99352,                0.71013,                 1.0992,              0.0002378,              0.0002378,              0.0002378
                     91,                0.68913,                0.40598,                0.91991,                0.91879,                0.83636,                 0.8909,                 0.6509,                 1.0128,                0.69825,                 1.1092,               0.000218,               0.000218,               0.000218
                     92,                0.67061,                0.39555,                0.91263,                0.91482,                0.84623,                0.89619,                0.65717,                0.98641,                0.69519,                 1.1078,              0.0001982,              0.0001982,              0.0001982
                     93,                0.65982,                0.38419,                 0.9271,                0.90477,                0.85455,                0.89524,                0.65901,                0.98015,                0.71787,                 1.1046,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66835,                0.39287,                0.91101,                0.93797,                0.83636,                0.89857,                0.65024,                0.99091,                0.69915,                 1.1165,              0.0001586,              0.0001586,              0.0001586
                     95,                0.67486,                0.38556,                0.90931,                0.92246,                0.84242,                0.89662,                0.66148,                0.97227,                0.69441,                  1.104,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65935,                0.38906,                0.91793,                0.94445,                0.82435,                0.89846,                0.66228,                0.98388,                0.69568,                 1.1061,               0.000119,               0.000119,               0.000119
                     97,                0.64875,                0.37493,                0.91454,                 0.9458,                0.82424,                0.89576,                0.66304,                0.98978,                0.68728,                 1.1087,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.62563,                0.37086,                0.89859,                0.91688,                0.84848,                0.90062,                0.66284,                0.97667,                0.70856,                 1.1112,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.62403,                0.36627,                0.89691,                  0.899,                 0.8631,                0.90367,                0.66572,                0.98384,                0.69298,                 1.1056,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.62444,                0.36622,                0.92171,                0.92546,                0.84242,                0.90385,                0.66229,                 0.9929,                0.69007,                 1.1069,               3.98e-05,               3.98e-05,               3.98e-05
